ID,APP_NAME
1,TED
2,Pictoword:Word
3,BYJU'S-The Learning App
4,Elevate-Brain Training Games
5,Lumosity-Brain Training
6,Paheli
7,Coursera:Online
8,Khan Academy
9,Udemy Online
10,Fit Brains Trainer
11,EdX-Online
12,KOGNITIVO-Brain Training
13,ABC For Kids - Education App
14,Math Challenge
15,Math Tricks
16,Brain it On! - Physics
17,4 Pics 1 Word
18,Memory Gaames:Brain Training
19,Grammar Practice
20,Complete Biology
21,How to Draw Tattos
22,myHomework
23,Next Gen Science
24,SMTT TOEFL Speaking
25,Teacher's Gradebook
26,Meritnation-CBSE
27,Pocket Mathematics
28,Google Classroom
29,Virtual Teacher
30,MBA Skool
31,CamScanner-Phone PDF Creator
32,Google Slides
33,English Grammar
34,Daily GK & Online Test SSC IAS PSC IBPS Govt Exams
35,Bank Exam
36,English Synonym
37,"Exam Prep(Eng/Hindi) SSC CGL,IBPS,Bank PO,GATE"
38,IELTS Vocabularies-ILVOC
39,GMAT Math
40,SAT Test
41,Painless GRE
42,GRE Vocabulary Expert
43,Law-CLAT Exam Guide
44,GRE Tests
45,"HashLearn JEE Main,NEET,CBSE,BITSAT Preparation"
46,ACT Test
47,Pocket Verbal
48,GRE Prep & Practice by Magoosh
49,"play2prep:ACT,SAT prep"
50,Ready4 SAT(Prep4SAT)
51,OCAS
