ID,APP_NAME
1,Adventures of Mana
2,After Burner Climax
3,Alpha Betty Saga
4,Angry Birds
5,Angry Birds 2 [a]
6,Angry Birds Epic
7,Angry Birds Friends
8,Angry Birds Go!
9,Angry Birds Rio
10,Angry Birds Seasons
11,Angry Birds Space
12,Angry Birds Star Wars
13,Angry Birds Star Wars II
14,Angry Birds Stella
15,Angry Birds Transformers
16,Apollo Justice: Ace Attorney
17,Art of Conquest
18,Asphalt 8: Airborne
19,Asphalt Xtreme
20,Backbreaker
21,Blitz Brigade
22,Blossom Blast Saga
23,Boom Beach
24,Bubble Witch 2 Saga
25,Bubble Witch 3 Saga
26,Bubble Witch Saga
27,Call of Duty: Heroes
28,Camp Pokémon
29,Candy Crush Jelly Saga
30,Candy Crush Saga
31,Candy Crush Soda Saga
32,Chaos Rings III
33,Clash of Clans
34,Clash Royale
35,Clumsy Ninja
36,Crusaders of Light
37,CSR Classics
38,CSR Racing
39,CSR Racing 2
40,Dead Trigger
41,Dead Trigger 2
42,Diamond Digger Saga
43,Dragon Quest VIII
44,Dungeon Hunter 5
45,Earn to Die 2
46,Emily Wants to Play
47,Farm Heroes Saga
48,Farm Heroes Super Saga
49,FIFA 10
50,FIFA 11
51,FIFA 12
52,FIFA 13
53,FIFA 14 Mobile
54,FIFA 15
55,FIFA 16
56,FIFA Mobile
57,Final Fantasy Grandmasters
58,Final Fantasy IX
59,Final Fantasy Tactics: The War of the Lions
60,Final Fantasy XV: A New Empire
61,Final Fantasy: Brave Exvius
62,Fire Emblem Heroes
63,Futurama: Worlds of Tomorrow
64,Gangstar Vegas
65,Grand Theft Auto III
66,Grand Theft Auto: San Andreas
67,Grand Theft Auto: Vice City
68,Hearthstone
69,Hit It Rich!
70,Hitman Go
71,Hitman: Sniper
72,Horizon Chase
73,Injustice 2
74,Injustice: Gods Among Us
75,Just Dance Now
76,Lara Croft Go
77,Lara Croft: Relic Run
78,Layton's Mystery Journey
79,Lego Batman 3: Beyond Gotham
80,Logres: Japanese RPG
81,Marvel: Contest of Champions
82,Marvel: Future Fight
83,Mega Man Mobile
84,Mega Man Mobile 2
85,Mega Man Mobile 3
86,Mega Man Mobile 4
87,Mega Man Mobile 5
88,Mega Man Mobile 6
89,Miitomo
90,Mobius Final Fantasy
91,Modern Combat 5: Blackout
92,Modern Combat Versus
93,Monster Hunter Explore
94,Monster Strike
95,Nortal Kombat X
96,N.O.V.A. 3
97,Need for Speed: No Limits
98,Nintendo Switch Online
99,One Piece Treasure Cruise
100,Open Sorcery
101,Order & Chaos 2: Redemption
102,Order & Chaos Online
103,Oz: Broken Kingdom
104,Papa Pear Saga
105,Paradise Bay
106,Pepper Panic Saga
107,Pet Rescue Saga
108,Phantasy Star Online 2es
109,Pictoword
110,Pocket Master
111,Pokémon Duel
112,Pokémon Go
113,Pokémon Photo Booth
114,Pokémon Shuffle
115,Pokémon TV
116,Pokémon: Magikarp Jump
117,Power Rangers: Legacy Wars
118,Pyramid Solitaire Saga
119,Real Racing 2
120,Real Racing 3
121,Scrubby Dubby Saga
122,Shadowgun
123,Shuffle Cats
124,Space Marshals
125,Star Wars: Commander
126,Star Wars: Galaxy of Heroes
127,Star Wars: Uprising
128,Super Mario Run
129,Super Meat Boy
130,Sword Art Online Code Resister
131,Sword Art Online: Memory Defrag
132,Terminator Genisys: Future War
133,Terraria
134,Tetris
135,Tetris Blitz
136,The Cave
137,The Simpsons: Tapped Out
138,The Sims FreePlay
139,Tiny Troopers
140,Unkilled
141,Untitled Animal Crossing game
142,Vainglory
143,Vikings: War of Clans
144,Voez
145,Yo-kai Watch: Wibble Wobble
146,YouTube Gaming
147,Yu-Gi-Oh! Duel Links
148,Google Play Games
